निर्मला,निरमला
निर्देशित,निरदेसित
मौन,मउन
कौवा,कउवा
ट्रैक्टर,टैक्टर
रौद्र,रौद्र
बंदरी,बनरी
उपजाऊ,ओपजाऊ
भौतिक,भव​तिक
बैगन,बएगन
लैपटाप,लेपटाप
मुहावरों,मुहावरन
पछताना,पछिताइल
निर्भर,निरभर
परिक्रमा,परिक्रमा
आवास,अवास​
फिल्म​,फिलिम
अस्पताल,असपताल
मोटरसाईकिल,मोटरसाय​कल
कर्ण,कर्ण
खुशहाल​,खुस​हाल​
थालिया,थरिया
गिरना,गिरल
पैंतीस,पैतीस
कैसे,कइसे
मीडिया,मिडिया
पर्ची,परची
विचारधारा,बिचारधारा
सप्ताह,सपताह
गुलाब,गुलाब
ऋण,रीन
अनुवाद,अनोवाद
विदा,बिदा
फूँकना,फूँकल
ढिंढोरा,ढिन्ढोरा
पैतालीस,पैतालीस
निर्भर,निरभर
शिक्षित,सिच्छित
परेशान,परेसान
वकील,ओकील
अंतर,अन्तर
घोंटाला,घोटाला
निकालना,निकालल
यहाँ,एहर
मिटाना,मिटावल
कोर्ट,कोरट
निर्माण,निरमाण
डिविजन,डिबिजन
विकाशवादी,बिकासवादी
उड़ना,उड़ल
नौ,नव​
रामायण,रामायन
लौकना,लउकल
सामने,समने
मैया,मइया
मुकद्दमा,मोकदिमा
बदलना,बदलल
साउथ,साउथ
शामिल,सामिल
उद्देश्य,उद्देश्य
आयाम,आयाम
असमर्थ,असमरथ
रखना,रक्खल
सहधर्मी,सहधरमी
मुकदमा,मोकदमा
दर्जन,दरजन
अकाउंट्स,एकाउन्ट्स
ख्याल,खयाल
सबूत,सबूत
रफ्तार,रफतार
व्यवहार,बेवहार
रोमांचित,रोमान्चित
रस्किन,रसकिन
तेवर,तेवर
एतराज,एतराज
अयोध्या,अजोध्या
वालों,वालन
मुनाफा,मोनाफा
मांगलिक,मांगलिक
पर्नकुटी,पर्नकुटी
सर्वोत्तम,सरवोत्तम
न्यायालय,न्यालय
फवारा,फुवारा
सताना,सतावल
कौनो,कवनो
पुछी,पुछली
आतंरिक,आन्तरिक
रोटी,रोटी
रश्म,रस्म
चुना,चुनल
रजिस्ट्री,रजिस्टरी
सौदा,सउदा
शेष,सेष
इकठ्ठा,एकट्ठा
फाड़,फार
मिला,मिलल
ऑडिट,आडिट
सवालों,सवालन
बैठकी,बइठकी
सटा,सटल
टोकना,टोकल
मुश्किल,मुस​किल
रिटायर,रिटायर
पवित्र,पवितर
कहना,कहल
सुखाना,सुखावल
अखबारों,अखबारन
स्वास्थ्य,सोवास्थ
प्रतिक्रिया,परतिकिरिया
दौड़,दउर
मुलायम,मोलायम
उठना,उठल
दायित्व,दयित्व
किराया,केराया
चौपाल,चउपाल
वजह,ओजह
कर्म​,करम
समझा,समझल
पढ़ाना,पढ़ावल
उपलब्धता,उपलब्धता
ऑक्साइड,आक्साइड
रिरिआना,रिरिआइल
गम्भीर,गम्हीर
आफत,आफत
विषमता,विसमता
अपनाना,अपनावल
डोलना,डोलल
ब्याकुल,बियाकुल
कुशल,कुस​ल
रवाना,रवाना
ब्रेक,बरेक
स्वाभिमान,सोवाभिमान
मात्र,मात्र
पसिना,पसेना
पीते,पियत
कारण,कारन
इंसान,इन्सान
वर्षा,बरसा
कलाकारों,कलाकारन
बैठ​,बईठ
प्रतीक्षा,प्रतीक्षा
एक्सप्रेस,एक्सप्रेस
शैली,सइली
सेठों,सेठवन
मार्मिक,मारमिक
कहा,कहल
पीसना,पीसल
चंद्रधर,चन्द्रधर
अंतिम,अन्तिम
छात्रों,छात्रन
गंभीर,गम​भीर
चुचुकारना,चुचुकारल
ठीकेदारों,ठीकेदारन
तौल,तउल
बीते,बीतत
भारतेन्दु,भारतेन्दु
वोट,ओट
पुदीना,पोदीना
हादसा,हदसा
इतना,एतना
दुर्दशा,दुरदसा
होश,होस
कौआ,कउआ
परिवारों,परिवारन
सामान्य,समान्य
तपस्विनी,तपस्विनी
प्रचलित,परचलित
शाकाहारी,साकाहारी
खनकाना,खनकावल
काश,कास​
मदद,मदत
जमा,जमल
कहा,कहल
दौड़,दउड़
प्यार,प्यार
संवेदना,संवेदना
करना,करल
कुर्सि,कुरसि
कड़ा,करा
उधर,ओधर
जौरा,जउरा
आत्मनिर्भर,आत्मनिरभर
रैपिड,रैपिड
टिकुली,टेकुली
मनवाना,मनवावल
ग्यारवाँ,एगरहवां
छुपाना,छुपावल
वन्दे,बन्दे
जनगणना,जनगणना
होनेवाला,होखेवाला
सुपरमार्केट,सुपरमारकेट
आसान,असान
जोगाया,जोगावल
सदियों,सदियन
लहरें,लहरन
हजारों,हजारन
खलना,खलल
यारों,ईयारन
गिरधर,गिरधर
इंतजार,इन्तजार
वापस,वापस
जला,जरल
वादा,वादा
किशन,किसन
बजारू,बाजारू
मटकाना,मटकावल
वातावरण,बातावरन
मुताबिक,मोताबिक
मर्चा,मरचा
छुरछुरी,छुरछुरी
योगदान,जोगदान
क्षण,क्षन
कारण,कारन
शक्तिशाली,सकतिशाली
समय,समे
दुपट्टा,रुपट्टा
व्याकरण,व्याकरन​
ग्राम,गराम
पड़ताल,पड़ताल
प्‍याज,पियाज
सुविधा,सोबिधा
तवलाना,तउलावल
कीटनाशक,कीटनासक
संतोष,सन्तोस
अगला,अगिला
सैर,सैर
फर्श,फर्स
अगस्त,अगस्त
संकल्प,सन्कलप
जगाना,जगावल​
दरिंदगी,दरिन्दगी
यजमान,जजमान
गाँठना,गाँठल
सत्कार,सतकार
शक्तिशाली,स​क्तिशाली
ग्यारहवाँ,एगरहावाँ
इंकार,इन्कार
बयालीस,बेयालिस
बोलियों,बोलियन
फसल,फसल
श्रण,सरन
आकाशी,अकासी
वर्णन,बरनन
नियम,नीयम
अंधकार,अन्धकार
ऐसा,अइसन
फिल्म​,फिलिम
सुप्रयास,सुपरयास
महाभिषेक,महाभिसेक​
बिताना,बिताना
मालिकों,मालिकन
धर्मशाला,धरमसाला
साहित्यकारों,सहित्यकारन
कार्तिक,कारतिक
आरक्षण,आरक्षन​
वनस्पति,ब​नस्पति
प्लाट,पलाट
आघात,आघात
दोनो,दूनो
खाना,खाइल
बन्दिश,बनदिस
शहद​,सहद​
खन्ती,खन्ती
भौजी,भउजी
डिलिवरी,डेलिवरी
अयोग्य,अयोग
उन्नइस,ओन​इस
मांसभक्षी,मान्सभछी
चौकठ,चउकठ
सिकुड़,सिकुर
वितरन,बितरन
रचा,रचल
बरस,बरीस
परंपरा,परम्परा
बेटों,बेटन
कॉर्पोरेशन,कारपोरेसन
निर्दयी,निरदयी
आहार,अहार
अर्थ,अरथ
विवरण,विवरन
खलबलाना,खलबलाइल
बल्की,बलकी
देश,देस
बीतना,बीतल
साधारण,साधारन
फुसलाना,फुसलावल
कृष्ण,किस्न​
उल्टी,उलटी
फलस्वरूप,फलसोरूप
नाश्ता,नाश्ता
दौरा,दव​रा
यमुनोत्री,यमुनोत्री
विचर,बिचर
मुजफ्फर,मुजफ्फर
चौथका,चउथका
मौक़ा,मउका
इन्ही,एन्ही
सेफ्टी,सेफ्टी
मतगणना,मतगणना
विकृत,बिकृत
कंद,कन्द
दहशतगर्दी,दहसतगरदी
खिलाड़ी,खेलाड़ी
तपस्वी,तपस्वी
फिरौती,फिरउती
मैनेजर,मनेजर
दुर्भाग्य,दुरभाग
बचाना,बचावल
बिक्री,बिकरी
मकानों,मकानन
संचालन,सन्चालन
दीर्घकाय,दीर्घकाय
रजिस्ट्रेशन,रजिस्ट्रेशन
कॉमर्स,कामर्स
निर्देशन,निरदेसन
कराना,करावल
रहें,रहलन
खात्मा,खातमा
चक्र,चकर
आश्रम,आशरम
न्यूज,निउज
कोण,कोन
महादेश,महादेस
दर्पण,दरपन
सिंदूर,सेनुर
बन्दिशों,बन्दिसन
परलोक,परलोक
खौलता,खउलता
मजदूर,मजूर
मास्टर,मासटर
समीक्षा,समीछा
सन्दर्भ,सन्दर्भ
कपास,कपास
होठ,ओठ
सर्वथा,सर्वथा
ऐसा,अइसन
बैठाना,बइठावल
वर्तमान,ब​र्तमान
खर्चो,खरचो
गलना,गलल
अस्पताल,असपताल
दरवाजा,दरबाजा
वैर,बइर
इण्टर,इन्टर
चारपाई,चरपाई
बिगाड़,बिगार
छपता,छपत
अल्हड़,अलहड़
यूनान,यूनान
दैया,दइया
मनीऑर्डर,मनीआडर
डुबाना,डुबावल
यौन,यौन
परछाई,परछाइ
बायना,बैना
राशि,रासि
गैरेज,गैरेज
ख़बरों,ख़बरन
चैथा,चइथा
क्लासिक,कलासिक
प्रदोष,परतोख
गहराई,गह​राइ
सरदर्द,सरदर्द
परमेश्वर,परमेसर
सड़ना,सड़ल
जोतना,जोतल
पीड़ा,पीरा
परवरिश,परब​रिस​
नवाजना,नवाजल
कर्मचारियों,कर्मचारियन
दहकना,दहकत
देशहित,देस​हित
मंत्रियों,मंत्रियन
पगड़ी,पगरी
बोला,बोलल​
चूल्हा,चूला
जमना,जमल
कौशल,कउसल
सैनिक,सइनिक
बार्बर,बारबर
मार्गदर्शक,मार्गदरसक
व्यापारी,बेयापारी
अक्सर,अकसर
खिलाफ,खेलाफ
लगाना,लगावल
शोहरत,सोहरत
तपस्थली,तपस्थली
वश,बस​
राजेन्द्र,राजेन्दर
मढना,मढल
नाराज,नराज
मोहताज़,मुहताज
बैठ,बइठ
सेलटैक्स,सेलटेक्स
घड़ी,घरी
रिकॉर्ड,रेकार्ड
द्वार,दुआर
मनमौजी,मनमउजी
हमेशा,हमेसा
सवारियों,सवारियन
प्रदूषण,परदुसन
पगड़ी,पगरी
छंद,छन्द
धर्म​,धरम
हल्का,हलुका
आतंकी,आतन्की
लगा,लगल
अमृत,अमरित
कजरौटा,कजरउटा
सानना,सानल
सामने,समने
चौबीस​,चउबीस​
जागरण,जागरन
कॉपीराइट,कापीराइट
चुरा,चोरा
पैदल,पएदल
फैसला,फसिला
बंधक,बन्धक
व्यर्थ,बेयर्थ
कुटवाना,कूटवावल
शिष्य,सिष्य
पचना,पचल
फूटना,फूटल
जैसा,जइसा
गमछा,गमछा
मालकिन,मलकिन
शहर,सहर
बिक्री,बिकरी
श्याम,सयाम
स्थापत्य,ईस्थापत्य
पौन,पउन
त्रिशूल,तिरशूल
घबरा,घबड़ा
कहें,कहलन
पारित,पारित
चमकना,चमकल
उत्तम,ओत्तम
रिश्तेदारी,रिस्तेदारी
तयशुदा,तयसुदा
रिश्तेदारों,रिस्तेदारन
हॉस्पिटल,हासपीटल
मदमस्त,मदमस्त
नारीप्रधान,नारीपरधान
तनख़्वाह,तनखाह
काटना,काटल
अभिलाषा,अभिलासा
भाईचारा,भाईचारा
जवानों,जवानन
हालांकि,हालांकि
लपेटना,लपेटल
सुहाग,सोहाग
हफ्ता,हफ्ता
खुलासा,खोलासा
सतर्क,सतर्क
गाड़ी,गाड़ि
साइकिल,साय​कल
सिंक,सीक
बेवकूफ़,बेकूफ
चुपाना,चुपाइल
शीशा,सीसा
वात्सल्य,वातसल्य
संघर्ष,संघर्ष
इतना,ऐतना
वाह,वाह
बैठाया,बइठाया
आकस्मिक,आकसमिक
पश्चिम,पच्छिम
विरोधियों,विरोधियन
बिमारी,बेमारी
दिलशाद,दिलसाद
और,अउर
चैनलों,चैनलन
होशियार,होसियार
बिगड़ैल,बिगड़इल
डाक्टर,डाँकडर
टेक्निक,टेकनिक
कड़ाही,कराही
पकड़ना,पकड़ल
सहनसील,सहनसील
मुराद,मोराद
बर्चा,बरचा
प्रेमी,प्रेमी
बलभद्र,बलभदर
पैदाईश,पइदाईस
क्रांति,करान्ति
घबड़ाना,घबड़ाइल
स्पेनिश,ईस्पेनस​
ईलाज,एलाज
आकाश,आकास​
विशेषता,बिसेसता
स्तरीय,स्तरीय
पारिवारिक,पारिवारिक
लौट,लवट
आक्रोश,आकरोस​
एकलौता,एकलउता
थानेदार,थानेदार
संगम,संगम
निर्मल,निरमल
सुनाना,सुनावल
बैठक​,बइठक
संतन,सन्तन
उपद्रवी,उपद्रवी
यूनिवर्सिटी,यूनिवरसिटी
पर्दा,परदा
गुर्राना,गुर्राइल
हेराना,हेराइल
प्रसारण,परसारण
पूर्व,पूर्व
स्लेट,ईस्लेट
वनवासी,बनवासी
अपनाना,अपनावल
जिला,जिला
विदेशी,बिदेसी
पसारना,पसारल
केश,केस​
प्रशस्ति,प्रस​स्ति
तुमको,तोम​को
फर्क,फरक
मौलाना,मउलाना
दिखावा,देखावा
जबरदस्त,जबरदस्त
सबो,सभन
आना,आयल
भोजपुरी,भजपूरी
जीतते,जीतत
खोजना,खोजल
प्रतीक,परतीक
प्रदूषित,परदूसित
फैक्ट्री,फैकटरी
टाइगर,टागर
जिम्मेदारी,जिम्मेवारी
लायक़,लाएक़
कर्म​योगी,करमजोगी
गर्मी,गरमी
प्रगतिशील,प्रगतिसील
विशेष,बिसेस
माली,मालि
गीतकारों,गीतकारन
भरा,भरल
व्याख्या,बेयाख्या
क्षमा,छ​मा
ऊँचाई,ओचाई
किनारा,किनारा
योग,जोग
दौड़,दउड़
विद्वानों,बिद्वानन
उर्जा,उरजा
अस्पताल,असपताल
चीजों,चीजन
टीका,टिका
अस्वस्थता,अस्वस्थता
मूँदना,मूँदल
डॉक्टरी,डाग्डरी
रुकना,रूकल
हलवा,हलुवा
व्यापारिक,बेयापारिक
माली,मालि
हास्य,हास्य
कचौड़ी,कचउड़ी
उन,उन्हन
आकाश,अकास
जन्मा,जनमा
कृष्णा,कृष्ना
पारिभाषिक,पारिभासिक
तुरंत,तुरत
कोण,कोन
युग,जुग
विवश,बिवस​
कलक्टर,कलट्टर
दावा,दावा
उलझा,उलझल
तिरपाल,तिरपाल
वैभव,वइभव
जिव,जीव
आइसक्रीम,अइसक्रीम
विश्वास,बिसवास​
लगाया,लगवलन
वर,बर
इच्छा,एच्छा
खोलना,खोलल
मड़राना,मड़राइल
विकार,विकार
चुल्हा,चुला
मजबूत,मजबूती
मजिस्ट्रेट,मजिस्टरेट
पुख्ता,पुखता
ज्योतिषी,जोतिषी
कौन,कउन
जताते,जतावत
चाँद,चाँन
डीलिवरी,डेलिवरी
खदेरना,खदेरल
नाटकों,नाटकन
बेरोजगार,बेरोजगार
जयंती,जयन्ती
छौकँ​,छऊँक
इन्हीं,इनही
पहचान,पहिचान
उड़ान,ओड़ान
फांसी,फासी
फेरना,फेरल
बहाना,बहावल
बीतना,बीतल
बाजार,बजार
उल्टा,उलटा
आये,आवे
दूसरी,दूसरकी
बैंक,बैंक
रोड़ा,रोरा
चोंच,चोच
मौज,मउज
गर्दन,गरदन
स्थिति,इस्थिती
सार्थकता,सारथकता
विषय,बिसय​
हथियाना,हथियावल
सम्प्रदाय,समप्रदाय
डगमगाना,डगमगाइल
सयान,सेयान
मांग,मांग
टसकाना,टसकावल
यदि,जदि
स्टेशन,इसटेसन
पदार्थ,पर​दार्थ
भुनभुनाना,भुनभुनाइल
भाषावों,भाषवन
ऑफिस,आफिस
बदलना,बदलल
चम्मच,चमच
इसपर,एपर
पपड़ी,पपरी
दारुण,दारुन
कार्य,कार
उपलब्धि,उपलब्धि
विदेशीयों,बिदेसियन
अर्थ,अर्थ
यज्ञ,यज्ञ
अध्याय,अध्याय
निकलना,निकलल
एहसान,एहसान
विस्फोटक​,बिसफोटक​
व्याकुल,बेयाकुल
लम्बा,लम्मा
बिरादरी,बिरादरी
बुखार,बोखार
अपर्याप्त,अपरयाप्त
विरासत,बिरासत
चेकिंग,चेकिंग
निशाना,निसाना
शब्दावलियों,सब्दावलियन
आलमारी,अलमारी
समर्पित,समरपित
बर्फ,बरफ
जुड़वा,जुड़वा
किरण,किरिन
उठावाना,ओठावल
स्थाई,ईस्थाई
राजनीती,रजनीति
ख्याल,खयाल
मसकना,मसकल
कवी,कबि
अंतक्रिया,अन्तकिरिया
स्थिर,ईस्थिर
सौप,सँउप
चकनाचूर,चकनाचूर
निहारना,निहारल
सब्सिडी,सबसिडी
कल्याण,कल्यान
अलौकिक,अलउकिक
उड़ना,उड़ल​
पेट्रोल,पेटरोल
बोनेवाला,बोवेवाला
लगता,लागत
स्थापन,ईस्थापन
श्रोता,सरोता
दोनों,दूनों
हॉस्टल,हॉसटल
विचार,बिचार
कत्लेआम,कतलेआम
हिनहिनाना,हिनहिनाइल
दिशा,दिसा
उसतरह,ओतरेह
हितैशी,हितैसी
करण,करन
इनवायरमेन्ट,इनवायरमेन्ट
रुकना,रुकल
आस्था,आस्था
क्षतिपूर्ति,क्षतिपूरति
हथौड़ी,हथउड़ी
चापलूसी,चपलूसी
खोना,खोअल
बहुत,बहोत​
इंतजाम,इन्तजाम
बौर,बाउर
टोहना,टोहल
खैनी,खइनी
औरत,अव​​रत
मौकापरस्त,मव​कापरस्त
दिनों,दिनन
विवेक,बिवेक
निर्धारित,निरधारित
विवाह,बिआह
स्वार्थी,सवारथी
कंठाल,कन्ठाल
बैंक,बैंक
मौसा,मउसा
तरह,तरे
काँखना,काँखल
सर्दी,सरदी
इम्तहान,इम्तहान
पार्टनर,पाटनर
भिखारी,भिखारी
निडर,निडर
विषयों,बिषयन
खिसियाना,खिसियाइल
रुपों,रूपन
उठाना,उठावल​
पेंशन,पेनसन
मर्द,मरद
दुर्भाग्यवश,दुरभागवस
शारीरिक,सारीरिक
दर्जा,दरजा
शुक्रवार,सुकरवार
मौलिकता,मौलिकता
भर्ती,भरती
भाषण,भास​न
मौर,मऊर
लौटा,लउटा
उत्सर्जन,उतसरजन
पीटना,पीटल
सादगी,सादगी
व्रत,बरत
जिम्मेदारी,जिम्मेवारी
परीक्षा,परिछा
इनको,एनको
आशा,आसा
विस्मयकारी,बिस​मयकारी
दार्शनिक,दारसनिक​
अर्ज,अर्ज
विकल्प,बिकल्प
प्याली,पियाली
वैशाखी,बइसाखी
अद्वितीय,अद्वितीय
व्यवसायिकता,बेवसायिकता
समर्थ,समर्थ
कर्मियों,कारमियन
सोनारों,सोनारन
ऋग्वेद,रिग​वेद
इज्जत,इज्जत
पर्चा,परचा
पुरखों,पुरखन
विकसित,बिकसित
मार्तण्ड,मारतन्ड
तोशक,तोसक
भेजना,भेजल
फुटबॉल,फुटबाल
मानते,मानत
अधिवेशन,अधिवेसन
शमेजरी,स​मेजरी
कोना,कोना
परिस्थितिवश,परिस्थितिवस​
रोना,रोवल
पर्यावरण,पर्यावरन​
फ़ौज,फउज
विमर्श,बिमर्श
पहचानना,पहिचानल
सवाल,सबाल
उगलना,उगिल
तेईस,तेइस
प्रतिफल,प्रतिफल
अंतर्मन,अन्तरमन
बरगद,बरगद
विधाता,बिधाता
निराश,निरास​
मुख्यमंत्री,मुख्यमन्तरी
सातवाँ,सतवाँ
कोशिश,कोसिस
ईमानदारी,एमानदारी
नगरपालिकों,नगरपालिकन
ट्रेनिंग,टरेनिंग
पहर,पहर
भेंटना,भेंटाइल
दोपहर​,दुपहर​
बताना,बतावल
हमेशा,हरमेसा
खेलना,खेलल
क्यों,क्यों
अशांत,असान्त​
तत्वावधान,ततवावधान
वीर,बीर
अंडरवियर,अंडरियर
आबादी,अबादी
घुटन,घुटन
दक्षिण,दक्षिन​
जुगाड़,जोगाड़
यमुना,जमुना
भाषा,भासा
गर्दन,गरदन
चर्चित,चरचित
क्या,का
पैसठ,पइसठ
जंतु,जन्तु
टैक्सी,टेक्सी
गिरफ्तार,गिरफतार
मंदिर,मन्दिर
तुरंत,तुरन्त
निपुण,निपुन
बेटियों,बेटियन
पौधा,पउधा
प्रॉब्लम,प्राब्लम
बहलाना,बहलावल
ऐसा,अइसन
शहर,सहर
भयानक,भेयानक
बनैला,बनइला
विविध,बिविध
आदिमी,अदिमी
मामला,मामिला
पीटा,पीटल
बयान,बेयान
आपदा,आपदा
संयोग,सन्जोग
शूरू,सूरू
आया,आइल
टायर,टायर
खर्चा,खरचा
स्टूडेंट,इसटूडेंट
केवाड़ी,केवारी
पैसा,पइसा
किया,कइल
ढरका,ढरकल
भावना,भावना
खेतिहर,खेतिहरन
पकौड़ी,पकउड़ी
धर्मयुग,धरमयुग
आचरण,आचरन​
ढहना,ढहल
जीवन,जियन
प्रहार,प्रहार
गिना,गिनल
यार,यार
ससुराल,ससुरारी
लज्जा,लजा
पुरब​,पुरु​​ब​
मूर्ति,मूरति
खोपड़ी,खोपरी
पैर,पइर
स्कूल,इसकूल
बेशक्,बेस​क्
दौड़ते,दउरत
फँसाना,फँसावल
सुलझाना,सुलझावल​
शिक्षा,सिच्छा
मुसलमानों,मुसलमानन
पताका,पताखा
बचें,बचन
दशा,दशा
रिज्लट​,रेज्लट​
रस्सी,रसरी
मिशन,मिस​न
इंजीनियरों,इंजीनियरन
यमराज,जमराज
भविष्यवादी,भबिष्यवादी
वैचारिक,बैचारिक
आपन,आपन
इम्तिहान,इम्तहान
हत्या,हत्या
महेश,महेस
टेन्शन,टेन्स​न
लम्बाई,लमाई
कराना,करावल
लिखा,लिखल
प्रतिबिंब,प्रतिबिम्ब
शुरू,सुरू
विराम,बिराम
बुलाना,बोलावल
कविचेतना,कबिचेतना
न्यायाधीश,नेयाधीस​
विपरीत,बिपरीत
कैद,कैद
परदेस,परदेस
प्रकाशक,परकासक
सुर्ती,सुरती
निश्चय,निसचय
भ्रमजाल,भरमजाल
सूरज,सूरुज
मशहूर,मसहूर​
रेघरियाना,रेघरियावल
चुनाव,चोनाव
प्रान,परान
बाण,बान
समुद्रतल,समुद्रतल
भोगना,भोगल
गाड़ना,गाड़ल
अंजान,अनजान
दुर्गन्ध,दुरगन्ध
नाईस,नाईस
घंटा,घण्टा
प्रतिकार,परतिकार
मस्तक,मसतक
विज्ञान,बिज्ञान
किसान,किसान
विरोधी,बिरोधी
कोतवाली,कोतवाली
दुखना,दुखाइल
अक्ल,अकल
आसरा,असरा
रचनाशील,रचनासील
बराती,बरतिहा
परिवर्तन,परिवरतन
कुश,कुस
कुदाल,कुदार
फ़ौज,फ़उजि
प्राणी,प्रानी
पर्व​,परब
कुशा,कुसा
फोटोग्राफरों,फोटोग्राफरन
सांस्कृतिक,सन्सकृतिक
कितने,कतने
विवाह,बियाह
मरण,मरन
शौकत,स​व​कत
देशी,देसी
हृदय,हिरदय
सहयोग,सहजोग
स्वाद,सुआद
स्टार,स्टार
विज्ञापन,बिज्ञापन
भटकना,भटकल
कल्पना,कलपना
दोचार,दूचार
आत्मसम्मान,आत्मसम्मान
जिन्दगी,जिनिगी
लेई,लेई
योगा,योगा
उठना,उठल
आकाश,आकास
इनका,इनकर
मुस्कान,मुसकान
बीघा,बिगहा
इसाई,इसाई
कीर्तन,कीरतन
कलश,कलस
गर्दन,गरदन
शौक,सवख
व्यापारी,बयापारी
चौकड़ी,चउकड़ी
फूलना,फुलाइल
बैशाख,बइसाख
डकैती,डकइती
किवाङ,केवाङ
सैकड़ा,सएकड़ा
वास्तव,बा​स्तो
फ्रांस,फरान्स
विरक्ति,बिरक्ति
वैज्ञानिक,बैज्ञानिक
कीर्ति,कीरति
ऑफिस,आफिस
अट्ठारह,अठारह
परदेश,परदेस​
गर्मी,गरमी
नवजवान,नवजवान
समानान्तर,समानान्तर
विचारधारा,बिचारधारा
नशा,नसा
भरोशा,भरोसा
सिपाहियों,सिपाहियन
नशीला,नशीला
बिजली,बिजुली
पार्टी,पारटी
संसार,सन्सार
युगबोध,जुगबोध
बर्फ,बरफ
पुरस्कार,पुरसकार
चर्चा,चरचा
रुका,रुकल
एंटरटेनमेंट,एंटरटेनमेंट
अभिनेत्री,अभिनेतरी
मजदूरो,मजुरी
उपहार,ओपहार
कार्यक्रम,कार्यकरम
कानून,कनून
पॉकेटमार,पाकेटमार
जुड़ा,जुड़ल
पालना,पालल
चूतड़,चूतर
विश्वास,बिसवास
यार,इयार
छरियाना,छरियाइल
कौन,कउन
पुरानी,पुरनकी
शाबाश,साबास
जबरजस्ती,जबरिया
शक्ति,सकती
मुरछाना,मुरछाइल
बिंदी,बिन्दी
दुलारा,दुलरुआ
बखान,बखानल
आकर्षण,आकरषन
गौरव,गव​रव
पंचायत,पन्चायत
गौरी,गउरा
पूड़ी,पूरी
ठहराना,ठहरावल
डॉलर,डालर
घायल,घाहिल
धारणा,धारना
गड़बड़,गड़रबड़र
सामूहिक,सामूहिक
हसना,हसल​
जीता,जीतल
प्रतिशत,परतिस​त
मकान,मकान
स्टाइल,इसटाइल
चुड़ैल,चुरइल
नाश्ता,नस्ता
जीवित,जीबित​
आयोजन,आयोजन
पहरा,पहेरा
भोजपुरी,भजपुरी
आदिवासी,अदिवासी
अस्थिर,असथिर
समाधान,समाधान
सिफारिस,सेफारिश
लोगों,लोगन
सिनेमाघरों,सिनेमाघरन
निर्जन,निरजन
दौड़,दउर
पूरब,पूरूब
जड़ी,जरी
छिपा,छिपल
नाम,नाँव
कॉलेज,कालेज
पंजे,पन्जे
मुद्रा,मुदरा
अंदरूनी,अन्दरूनी
अनुशासन,अनुसासन
पिस्तौल,पिस्तउल
नजरंदाज़,नजरन्दाज़
निर्दोष,निरदोस
देशभक्ति,देसभक्ति
सवालों,सवालन
बेकार,बेकार
कौन,कउन
वन,बन​
संत,सन्त
चालाकी,चलाकी
प्राथमिकता,पराथमिकता
मातरम्,मातरम्
गैस,गैस
वायरलेस,वायरलेस
गिनती,गिनिती
दिखाई,देखाई
बंद,बन्द
सिन्हा,सिनहा
समस्या,समसया
निभाना,निभावल
दरिद्र,दरिदर
कीचड़,किचर
लहराना,लहराइल
सौतन,सउतन
इन्सान,इन्सान
छे,छह​
नौकरानी,नोकरानी
दोषी,दोसिहा
खीचना,खिचल
आशारानी,आसारानी
खर्चा,खरचा
पत्ता,पतई
कंप्यूटर,कंपूटर
पुस्तकालय,पुसतकालय
शहीद,स​हीद
समर्पन,समरपन
आगत,आगत
कुछ,कुछु
प्रजनन,प्रजनन
बाजार,बजार
रावण,रावन​
पुणे,पुने
बढ़ना,बढ़ल
स्वर्ण,स्वरन
महीनों,महिनन
चहचहाना,चहचहाइल
ख़ुराक,खोराक
मशगूल,मस​गूल
जेनरेटर,जरनेटर
आकर्षक,आकरसक
दलितों,दलितन
व्याकुल,बेयाकुल
प्रबंधक,परबन्धक
भ्रम​,भरम
योजना,योजना
पतला,पतरा
थोड़ा,थोरा
उतना,ओतना
दर्शक,दरसक
सुनना,सुनल
वेशभूषा,भेषभूषा
पार्ट,पार्ट
भागा,भागल
मार्खेज,मारखेज
लगातार,लगतार
आदमी,अदमी
भक्तजन,भक्तजन
ब्लाउज,बलाउज
सुन,सुन
शुरुवात,सुरुआत
बल्कि,बलुक
हजार,हजार
गैराज,गैराज
कॉफ़ी,काफ़ी
उठाते,उठावत
लोहार,लोहार
डकार,ढकार
भक्तिमय,भक्तिमय
टाँकना,टाँकल
संचालन,सन्चालन
शौकीन,शौकीन
प्रकट,परकट
भेजना,भेजल
जागना,जगना
प्रेमावेग,प्रेमावेग
आखिर,आखीरी
चौ,चउ
शॉट,शाट
पीडित,पिरीत
मुश्किल,मुस्किल
चुन,चुनल
फैसला,फ़एसला
शासक,सासक
दर्जा,दरजा
प्यास,पियास
लिखवाते,लिखवावत
विसर्जन,बिसरजन
पैमाना,पैमाना
पहलुओं,पहलुअन
हिजड़ा,हिजरा
उच्चारण,ओच्चारन
अंजोर,अन्जोर
झलकियों,झलकियन
डॉलर,डालर
चौखट,चउखठ
हैया,हइया
सुशिक्षित,सुसिच्छित
कल्याण,कल्यान
मुहुर्त,मुहुरत
योग्य,जोग्य
पीसना,पीसल
काबील,काबील
बर्तन,बरतन
शून्य,सून्य
खिड़की,खिरकी
थालिया,थरिआ
अचम्भित,अचम्भित
डाँटना,डाँटल
फटा,फाटल
ख़त्म,खतम
महाभारत,महाभारत
कर्मयोगी,करमयोगी
डिजाईन,डिजाइन
पशुपालक,पसुपालक
पूछना,पूछल
उघर,उघरत
